gender,skin_tone,undertone,occasion,outfit,color
female,fair,cool,casual,oversized pastel hoodie + jeans,frost lavender
female,fair,cool,casual,oversized pastel hoodie + jeans,baby blue
female,fair,cool,casual,oversized pastel hoodie + jeans,soft pink
female,fair,cool,casual,oversized pastel hoodie + jeans,sage green
female,fair,cool,formal,oversized pastel hoodie + jeans,charcoal
female,fair,cool,formal,oversized pastel hoodie + jeans,ivory
female,fair,cool,party,oversized pastel hoodie + jeans,frost lavender
female,fair,cool,party,oversized pastel hoodie + jeans,charcoal
female,fair,cool,wedding,oversized pastel hoodie + jeans,dusty rose
female,fair,cool,wedding,oversized pastel hoodie + jeans,ivory
female,medium,warm,casual,oversized pastel hoodie + jeans,teal
female,medium,warm,casual,oversized pastel hoodie + jeans,navy blue
female,medium,warm,formal,oversized pastel hoodie + jeans,navy blue
female,medium,warm,formal,oversized pastel hoodie + jeans,warm beige
female,medium,warm,party,oversized pastel hoodie + jeans,emerald
female,medium,warm,party,oversized pastel hoodie + jeans,burgundy
female,medium,warm,wedding,oversized pastel hoodie + jeans,burgundy
female,medium,warm,wedding,oversized pastel hoodie + jeans,emerald
female,dusky,warm,casual,oversized pastel hoodie + jeans,mocha
female,dusky,warm,casual,oversized pastel hoodie + jeans,olive green
female,dusky,warm,formal,oversized pastel hoodie + jeans,cocoa brown
female,dusky,warm,formal,oversized pastel hoodie + jeans,wine burgundy
female,dusky,warm,party,oversized pastel hoodie + jeans,emerald green
female,dusky,warm,party,oversized pastel hoodie + jeans,mustard gold
female,dusky,warm,wedding,oversized pastel hoodie + jeans,gold
female,dusky,warm,wedding,oversized pastel hoodie + jeans,wine burgundy
female,dark,neutral,casual,oversized pastel hoodie + jeans,sapphire blue
female,dark,neutral,casual,oversized pastel hoodie + jeans,emerald green
female,dark,neutral,formal,oversized pastel hoodie + jeans,ivory
female,dark,neutral,formal,oversized pastel hoodie + jeans,charcoal
female,dark,neutral,party,oversized pastel hoodie + jeans,fuchsia
female,dark,neutral,party,oversized pastel hoodie + jeans,royal blue
female,dark,neutral,wedding,oversized pastel hoodie + jeans,gold
female,dark,neutral,wedding,oversized pastel hoodie + jeans,emerald green
